Timestamp | Error Message
--------------------------------------------------------------------------------
2025-11-08 23:33:41.809198 | [ERROR] Order for BBL (Vol: 100, Price: 148.0, Side: Sell) skipped due to Cannot sell BBL as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:43.888211 | [ERROR] Order for BH (Vol: 100, Price: 182.5, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:45.285493 | [ERROR] Order for TISCO (Vol: 100, Price: 100.0, Side: Sell) skipped due to Cannot sell TISCO as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:45.299553 | [ERROR] Order for ADVANC (Vol: 100, Price: 296.0, Side: Sell) skipped due to Cannot sell ADVANC as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:45.301712 | [ERROR] Order for BJC (Vol: 100, Price: 20.6, Side: Sell) skipped due to Cannot sell BJC as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:45.830460 | [ERROR] Order for CPN (Vol: 100, Price: 56.75, Side: Sell) skipped due to Cannot sell CPN as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:47.442433 | [ERROR] Order for TLI (Vol: 100, Price: 10.6, Side: Sell) skipped due to Cannot sell TLI as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:47.442433 | [ERROR] Order for GULF (Vol: 100, Price: 46.0, Side: Sell) skipped due to Cannot sell GULF as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:48.787664 | [ERROR] Order for CPF (Vol: 100, Price: 23.3, Side: Sell) skipped due to Cannot sell CPF as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:48.812488 | [ERROR] Order for RATCH (Vol: 100, Price: 26.5, Side: Sell) skipped due to Cannot sell RATCH as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:48.890124 | [ERROR] Order for MINT (Vol: 100, Price: 24.6, Side: Sell) skipped due to Cannot sell MINT as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:48.944446 | [ERROR] Order for GPSC (Vol: 100, Price: 39.5, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:49.802985 | [ERROR] Order for EGCO (Vol: 100, Price: 116.0, Side: Sell) skipped due to Cannot sell EGCO as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:52.464967 | [ERROR] Order for PTTEP (Vol: 100, Price: 115.5, Side: Sell) skipped due to Cannot sell PTTEP as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:52.531739 | [ERROR] Order for BTS (Vol: 100, Price: 3.3, Side: Sell) skipped due to Cannot sell BTS as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:52.540200 | [ERROR] Order for TOP (Vol: 100, Price: 36.75, Side: Sell) skipped due to Cannot sell TOP as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:52.593790 | [ERROR] Order for PTT (Vol: 100, Price: 33.25, Side: Sell) skipped due to Cannot sell PTT as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:54.406418 | [ERROR] Order for TU (Vol: 100, Price: 12.3, Side: Sell) skipped due to Cannot sell TU as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:55.747286 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.4, Side: Sell) skipped due to Cannot sell TIDLOR as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:55.798777 | [ERROR] Order for MTC (Vol: 100, Price: 42.5, Side: Sell) skipped due to Cannot sell MTC as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:57.833365 | [ERROR] Order for KKP (Vol: 100, Price: 58.75, Side: Sell) skipped due to Cannot sell KKP as it is not in the portfolio or insufficient volume.
2025-11-08 23:33:59.396931 | [ERROR] Order for WHA (Vol: 100, Price: 3.78, Side: Sell) skipped due to Cannot sell WHA as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:01.573876 | [ERROR] Order for BJC (Vol: 100, Price: 20.3, Side: Sell) skipped due to Cannot sell BJC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:01.878003 | [ERROR] Order for CBG (Vol: 100, Price: 56.25, Side: Sell) skipped due to Cannot sell CBG as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:02.654495 | [ERROR] Order for COM7 (Vol: 100, Price: 25.5, Side: Sell) skipped due to Cannot sell COM7 as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:02.654495 | [ERROR] Order for BBL (Vol: 100, Price: 147.5, Side: Sell) skipped due to Cannot sell BBL as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:02.680500 | [ERROR] Order for IVL (Vol: 100, Price: 23.1, Side: Sell) skipped due to Cannot sell IVL as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:03.283071 | [ERROR] Order for TLI (Vol: 100, Price: 10.5, Side: Sell) skipped due to Cannot sell TLI as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:05.157856 | [ERROR] Order for AOT (Vol: 100, Price: 39.75, Side: Sell) skipped due to Cannot sell AOT as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:06.281697 | [ERROR] Order for AWC (Vol: 100, Price: 2.42, Side: Sell) skipped due to Cannot sell AWC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:06.281697 | [ERROR] Order for PTTGC (Vol: 100, Price: 27.5, Side: Sell) skipped due to Cannot sell PTTGC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:07.637137 | [ERROR] Order for BEM (Vol: 100, Price: 5.25, Side: Sell) skipped due to Cannot sell BEM as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:09.887397 | [ERROR] Order for KTB (Vol: 100, Price: 25.5, Side: Sell) skipped due to Cannot sell KTB as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:09.887397 | [ERROR] Order for BCP (Vol: 100, Price: 31.5, Side: Sell) skipped due to Cannot sell BCP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:09.892072 | [ERROR] Order for CCET (Vol: 100, Price: 6.05, Side: Sell) skipped due to Cannot sell CCET as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:10.589440 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.2, Side: Sell) skipped due to Cannot sell TIDLOR as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:10.902197 | [ERROR] Order for OSP (Vol: 100, Price: 18.8, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:10.945450 | [ERROR] Order for CRC (Vol: 100, Price: 23.3, Side: Sell) skipped due to Cannot sell CRC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:10.998181 | [ERROR] Order for GPSC (Vol: 100, Price: 39.25, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:13.119707 | [ERROR] Order for VGI (Vol: 100, Price: 1.92, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:13.889667 | [ERROR] Order for BANPU (Vol: 100, Price: 4.98, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:14.330966 | [ERROR] Order for SCC (Vol: 100, Price: 228.0, Side: Sell) skipped due to Cannot sell SCC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:17.402025 | [ERROR] Order for OR (Vol: 100, Price: 14.0, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:19.269329 | [ERROR] Order for PTTEP (Vol: 100, Price: 115.0, Side: Sell) skipped due to Cannot sell PTTEP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:20.431991 | [ERROR] Order for MTC (Vol: 100, Price: 42.75, Side: Sell) skipped due to Cannot sell MTC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:21.893168 | [ERROR] Order for BANPU (Vol: 100, Price: 4.96, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:21.912718 | [ERROR] Order for GULF (Vol: 100, Price: 45.75, Side: Sell) skipped due to Cannot sell GULF as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:22.633540 | [ERROR] Order for TCAP (Vol: 100, Price: 50.75, Side: Sell) skipped due to Cannot sell TCAP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:23.806799 | [ERROR] Order for AOT (Vol: 100, Price: 39.5, Side: Sell) skipped due to Cannot sell AOT as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:23.887656 | [ERROR] Order for VGI (Vol: 100, Price: 1.93, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:25.015166 | [ERROR] Order for COM7 (Vol: 100, Price: 25.25, Side: Sell) skipped due to Cannot sell COM7 as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:26.080866 | [ERROR] Order for BH (Vol: 100, Price: 183.0, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:26.084177 | [ERROR] Order for IVL (Vol: 100, Price: 23.0, Side: Sell) skipped due to Cannot sell IVL as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:26.439343 | [ERROR] Order for OR (Vol: 100, Price: 13.9, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:29.252107 | [ERROR] Order for GPSC (Vol: 100, Price: 39.75, Side: Sell) skipped due to Cannot sell GPSC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:30.101261 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.75, Side: Sell) skipped due to Cannot sell HMPRO as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:30.132963 | [ERROR] Order for WHA (Vol: 100, Price: 3.76, Side: Sell) skipped due to Cannot sell WHA as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:30.145596 | [ERROR] Order for KBANK (Vol: 100, Price: 163.5, Side: Sell) skipped due to Cannot sell KBANK as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:32.876952 | [ERROR] Order for OSP (Vol: 100, Price: 18.9, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:37.620683 | [ERROR] Order for CCET (Vol: 100, Price: 6.1, Side: Sell) skipped due to Cannot sell CCET as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:37.673023 | [ERROR] Order for DELTA (Vol: 100, Price: 163.5, Side: Sell) skipped due to Cannot sell DELTA as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:39.300795 | [ERROR] Order for CBG (Vol: 100, Price: 55.75, Side: Sell) skipped due to Cannot sell CBG as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:43.411531 | [ERROR] Order for CRC (Vol: 100, Price: 22.9, Side: Sell) skipped due to Cannot sell CRC as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:46.270818 | [ERROR] Order for LH (Vol: 100, Price: 4.42, Side: Sell) skipped due to Cannot sell LH as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:47.751272 | [ERROR] Order for BH (Vol: 100, Price: 182.0, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:34:54.494610 | [ERROR] Order for KTC (Vol: 100, Price: 30.25, Side: Sell) skipped due to Cannot sell KTC as it is not in the portfolio or insufficient volume.
