Symbol,Buy Count,Buy Volume,Buy Avg Price,Buy Amount,Buy Comm,Buy VAT,Paid Amount,Sell Count,Sell Volume,Sell Avg Price,Sell Amount,Sell Comm,Sell VAT,Received Amount
ADVANC,12,1200,294.83,353800.0,555.47,38.88,354394.35,6,600,293.0,175800.0,276.01,19.32,175504.67
AOT,5,500,39.45,19725.0,30.97,2.17,19758.14,4,400,39.0,15600.0,24.49,1.71,15573.79
AWC,10,1000,2.46,2462.0,3.87,0.27,2466.14,4,400,2.44,976.0,1.53,0.11,974.36
BANPU,24,2400,4.92,11816.0,18.55,1.3,11835.85,24,2400,4.89,11736.0,18.43,1.29,11716.28
BBL,4,400,148.62,59450.0,93.34,6.53,59549.87,3,300,148.17,44450.0,69.79,4.89,44375.33
BCP,2,200,31.75,6350.0,9.97,0.7,6360.67,2,200,31.25,6250.0,9.81,0.69,6239.5
BDMS,20,2000,21.07,42150.0,66.18,4.63,42220.81,19,1900,20.91,39730.0,62.38,4.37,39663.26
BEM,3,300,5.27,1580.0,2.48,0.17,1582.65,1,100,5.15,515.0,0.81,0.06,514.13
BH,30,3000,182.72,548150.0,860.6,60.24,549070.84,26,2600,181.87,472850.0,742.37,51.97,472055.66
BJC,2,200,20.3,4060.0,6.37,0.45,4066.82,2,200,20.2,4040.0,6.34,0.44,4033.21
BTS,29,2900,3.25,9434.0,14.81,1.04,9449.85,24,2400,3.22,7732.0,12.14,0.85,7719.01
CBG,16,1600,57.31,91700.0,143.97,10.08,91854.05,15,1500,57.28,85925.0,134.9,9.44,85780.65
CCET,4,400,6.15,2460.0,3.86,0.27,2464.13,4,400,6.08,2430.0,3.82,0.27,2425.92
COM7,5,500,25.25,12625.0,19.82,1.39,12646.21,5,500,24.86,12430.0,19.52,1.37,12409.12
CPALL,14,1400,48.86,68400.0,107.39,7.52,68514.91,11,1100,48.41,53250.0,83.6,5.85,53160.55
CPF,13,1300,23.22,30190.0,47.4,3.32,30240.72,10,1000,23.05,23050.0,36.19,2.53,23011.28
CPN,6,600,57.0,34200.0,53.69,3.76,34257.45,5,500,56.4,28200.0,44.27,3.1,28152.63
CRC,89,8900,22.54,200580.0,314.91,22.04,200916.95,83,8300,22.39,185800.0,291.71,20.42,185487.87
DELTA,43,4300,162.88,700400.0,1099.63,76.97,701576.6,36,3600,161.9,582850.0,915.07,64.06,581870.87
EGCO,3,300,116.0,34800.0,54.64,3.82,34858.46,2,200,115.5,23100.0,36.27,2.54,23061.19
GPSC,9,900,40.31,36275.0,56.95,3.99,36335.94,3,300,39.75,11925.0,18.72,1.31,11904.97
GULF,24,2400,45.77,109850.0,172.46,12.07,110034.54,22,2200,45.34,99750.0,156.61,10.96,99582.43
HMPRO,2,200,7.75,1550.0,2.43,0.17,1552.6,1,100,7.6,760.0,1.19,0.08,758.72
IVL,6,600,23.1,13860.0,21.76,1.52,13883.28,3,300,22.9,6870.0,10.79,0.76,6858.46
KBANK,16,1600,163.62,261800.0,411.03,28.77,262239.8,7,700,163.21,114250.0,179.37,12.56,114058.07
KKP,13,1300,58.88,76550.0,120.18,8.41,76678.6,4,400,58.56,23425.0,36.78,2.57,23385.65
KTB,7,700,25.57,17900.0,28.1,1.97,17930.07,7,700,25.25,17675.0,27.75,1.94,17645.31
KTC,23,2300,30.91,71100.0,111.63,7.81,71219.44,10,1000,30.58,30575.0,48.0,3.36,30523.64
LH,17,1700,4.45,7560.0,11.87,0.83,7572.7,14,1400,4.41,6170.0,9.69,0.68,6159.64
MINT,10,1000,24.18,24180.0,37.96,2.66,24220.62,8,800,23.98,19180.0,30.11,2.11,19147.78
MTC,6,600,42.92,25750.0,40.43,2.83,25793.26,4,400,42.25,16900.0,26.53,1.86,16871.61
OR,10,1000,13.96,13960.0,21.92,1.53,13983.45,8,800,13.78,11020.0,17.3,1.21,11001.49
OSP,2,200,18.8,3760.0,5.9,0.41,3766.32,1,100,18.7,1870.0,2.94,0.21,1866.86
PTT,15,1500,33.28,49925.0,78.38,5.49,50008.87,13,1300,32.85,42700.0,67.04,4.69,42628.27
PTTEP,8,800,115.75,92600.0,145.38,10.18,92755.56,8,800,115.12,92100.0,144.6,10.12,91945.28
PTTGC,6,600,27.58,16550.0,25.98,1.82,16577.8,2,200,27.25,5450.0,8.56,0.6,5440.84
RATCH,3,300,26.67,8000.0,12.56,0.88,8013.44,2,200,26.25,5250.0,8.24,0.58,5241.18
SCB,23,2300,126.2,290250.0,455.69,31.9,290737.59,18,1800,125.58,226050.0,354.9,24.84,225670.26
SCC,9,900,228.44,205600.0,322.79,22.6,205945.39,2,200,227.0,45400.0,71.28,4.99,45323.73
SCGP,11,1100,19.09,21000.0,32.97,2.31,21035.28,7,700,18.77,13140.0,20.63,1.44,13117.93
TIDLOR,16,1600,20.52,32830.0,51.54,3.61,32885.15,12,1200,20.37,24450.0,38.39,2.69,24408.93
TISCO,9,900,100.67,90600.0,142.24,9.96,90752.2,8,800,100.31,80250.0,125.99,8.82,80115.19
TLI,13,1300,10.6,13780.0,21.63,1.51,13803.15,6,600,10.45,6270.0,9.84,0.69,6259.47
TOP,9,900,36.83,33150.0,52.05,3.64,33205.69,5,500,36.55,18275.0,28.69,2.01,18244.3
TRUE,9,900,11.18,10060.0,15.79,1.11,10076.9,5,500,10.88,5440.0,8.54,0.6,5430.86
TTB,21,2100,1.88,3952.0,6.2,0.43,3958.64,19,1900,1.87,3553.0,5.58,0.39,3547.03
TU,5,500,12.38,6190.0,9.72,0.68,6200.4,3,300,12.23,3670.0,5.76,0.4,3663.83
VGI,8,800,1.92,1536.0,2.41,0.17,1538.58,7,700,1.9,1332.0,2.09,0.15,1329.76
WHA,6,600,3.76,2254.0,3.54,0.25,2257.79,6,600,3.73,2236.0,3.51,0.25,2232.24
TOTAL,650,65000,,,5929.43,415.06,3783048.49,501,50100,,,4258.86,298.12,2708093.02
