Order Number,owner,Volume,Price,Side,Symbol,Timestamp
ORD00018,myteam,100,4.5,Buy,LH,2025-09-18 09:58:45
ORD00020,myteam,100,31.0,Buy,KTC,2025-09-18 09:57:39
ORD00021,myteam,100,14.2,Buy,OR,2025-09-18 09:58:31
ORD00025,myteam,100,21.3,Buy,BDMS,2025-09-18 09:57:43
ORD00031,myteam,100,165.0,Buy,DELTA,2025-09-18 09:57:19
ORD00034,myteam,100,116.0,Buy,PTTEP,2025-09-18 09:56:59
ORD00035,myteam,100,11.4,Buy,TRUE,2025-09-18 10:00:48
ORD00039,myteam,100,126.0,Buy,SCB,2025-09-18 10:01:35
ORD00040,myteam,100,49.0,Buy,CPALL,2025-09-18 10:03:26
ORD00041,myteam,100,59.0,Buy,KKP,2025-09-18 10:09:07
ORD00043,myteam,100,19.3,Buy,SCGP,2025-09-18 10:00:30
ORD00048,myteam,100,115.0,Sell,PTTEP,2025-09-18 09:57:33
ORD00054,myteam,100,297.0,Buy,ADVANC,2025-09-18 10:02:50
ORD00055,myteam,100,1.89,Buy,TTB,2025-09-18 10:05:06
ORD00058,myteam,100,57.0,Buy,CPN,2025-09-18 10:08:37
ORD00059,myteam,100,46.0,Buy,GULF,2025-09-18 10:00:35
ORD00063,myteam,100,24.6,Buy,MINT,2025-09-18 10:02:13
ORD00064,myteam,100,58.5,Sell,KKP,2025-09-18 10:21:02
ORD00065,myteam,100,295.0,Sell,ADVANC,2025-09-18 10:10:40
ORD00073,myteam,100,45.75,Sell,GULF,2025-09-18 10:03:32
ORD00075,myteam,100,23.3,Buy,CPF,2025-09-18 10:05:02
ORD00076,myteam,100,19.1,Buy,SCGP,2025-09-18 10:06:42
ORD00077,myteam,100,33.5,Buy,PTT,2025-09-18 10:02:53
ORD00078,myteam,100,30.5,Sell,KTC,2025-09-18 10:07:24
ORD00080,myteam,100,37.0,Buy,TOP,2025-09-18 10:05:29
ORD00081,myteam,100,3.3,Buy,BTS,2025-09-18 10:07:24
ORD00082,myteam,100,116.0,Buy,EGCO,2025-09-18 14:42:20
ORD00083,myteam,100,296.0,Buy,ADVANC,2025-09-18 10:18:07
ORD00090,myteam,100,56.25,Buy,CBG,2025-09-18 10:13:48
ORD00092,myteam,100,20.3,Buy,BJC,2025-09-18 10:14:36
ORD00093,myteam,100,56.25,Sell,CPN,2025-09-18 10:18:22
ORD00094,myteam,100,26.75,Buy,RATCH,2025-09-18 15:41:26
ORD00095,myteam,100,58.75,Buy,KKP,2025-09-18 10:44:19
ORD00096,myteam,100,1.8699999999999999,Sell,TTB,2025-09-18 10:15:27
ORD00098,myteam,100,13.9,Sell,OR,2025-09-18 10:06:28
ORD00099,myteam,100,26.25,Sell,RATCH,2025-09-18 15:44:02
ORD00107,myteam,100,21.0,Sell,BDMS,2025-09-18 10:05:17
ORD00108,myteam,100,2.44,Buy,AWC,2025-09-18 10:26:58
ORD00117,myteam,100,4.420000000000001,Sell,LH,2025-09-18 10:09:44
ORD00120,myteam,100,10.5,Buy,TLI,2025-09-18 10:33:02
ORD00126,myteam,100,21.1,Buy,BDMS,2025-09-18 10:10:02
ORD00127,myteam,100,12.4,Buy,TU,2025-09-18 10:48:41
ORD00133,myteam,100,100.0,Buy,TISCO,2025-09-18 10:45:21
ORD00138,myteam,100,99.5,Sell,TISCO,2025-09-18 10:46:44
ORD00144,myteam,100,229.0,Buy,SCC,2025-09-18 11:02:13
ORD00148,myteam,100,58.75,Buy,KKP,2025-09-18 11:37:19
ORD00152,myteam,100,33.0,Sell,PTT,2025-09-18 10:44:14
ORD00160,myteam,100,43.0,Buy,MTC,2025-09-18 11:51:42
ORD00161,myteam,100,163.5,Sell,DELTA,2025-09-18 10:06:22
ORD00163,myteam,100,45.75,Buy,GULF,2025-09-18 10:13:25
ORD00164,myteam,100,148.0,Buy,BBL,2025-09-18 14:02:47
ORD00165,myteam,100,10.6,Buy,TLI,2025-09-18 10:55:28
ORD00171,myteam,100,25.25,Buy,COM7,2025-09-18 10:34:57
ORD00176,myteam,100,45.25,Sell,GULF,2025-09-18 10:13:59
ORD00183,myteam,100,18.7,Sell,SCGP,2025-09-18 10:30:03
ORD00188,myteam,100,55.5,Sell,CBG,2025-09-18 10:24:11
ORD00198,myteam,100,164.0,Buy,KBANK,2025-09-18 10:40:01
ORD00203,myteam,100,126.0,Buy,SCB,2025-09-18 10:21:42
ORD00205,myteam,100,31.75,Buy,BCP,2025-09-18 12:07:06
ORD00208,myteam,100,31.25,Sell,BCP,2025-09-18 12:21:57
ORD00210,myteam,100,164.0,Buy,KBANK,2025-09-18 10:48:59
ORD00216,myteam,100,4.96,Buy,BANPU,2025-09-18 10:19:20
ORD00219,myteam,100,10.5,Buy,TLI,2025-09-18 12:22:40
ORD00220,myteam,100,20.9,Sell,BDMS,2025-09-18 10:17:35
ORD00221,myteam,100,164.0,Buy,DELTA,2025-09-18 10:15:01
ORD00222,myteam,100,164.0,Buy,KBANK,2025-09-18 10:54:30
ORD00226,myteam,100,3.2600000000000002,Buy,BTS,2025-09-18 10:16:32
ORD00227,myteam,100,11.299999999999999,Buy,TRUE,2025-09-18 12:23:33
ORD00229,myteam,100,20.6,Buy,TIDLOR,2025-09-18 12:15:20
ORD00230,myteam,100,56.0,Buy,CBG,2025-09-18 10:37:10
ORD00231,myteam,100,10.4,Sell,TLI,2025-09-18 13:59:23
ORD00233,myteam,100,5.3,Buy,BEM,2025-09-18 14:26:11
ORD00245,myteam,100,228.0,Buy,SCC,2025-09-18 14:09:19
ORD00246,myteam,100,182.0,Buy,BH,2025-09-18 11:00:20
ORD00247,myteam,100,23.1,Buy,IVL,2025-09-18 12:02:37
ORD00249,myteam,100,181.5,Sell,BH,2025-09-18 11:01:48
ORD00253,myteam,100,42.25,Sell,MTC,2025-09-18 14:36:42
ORD00255,myteam,100,1.93,Buy,VGI,2025-09-18 11:37:09
ORD00256,myteam,100,57.25,Buy,CPN,2025-09-18 12:19:49
ORD00258,myteam,100,58.75,Buy,KKP,2025-09-18 14:12:17
ORD00261,myteam,100,30.25,Buy,KTC,2025-09-18 10:28:22
ORD00264,myteam,100,148.0,Sell,BBL,2025-09-18 16:09:34
ORD00265,myteam,100,3.24,Buy,BTS,2025-09-18 10:17:07
ORD00268,myteam,100,56.5,Buy,CBG,2025-09-18 10:58:35
ORD00271,myteam,100,24.099999999999998,Sell,MINT,2025-09-18 10:56:55
ORD00276,myteam,100,27.5,Buy,PTTGC,2025-09-18 14:00:10
ORD00281,myteam,100,1.91,Sell,VGI,2025-09-18 11:41:59
ORD00291,myteam,100,20.4,Sell,TIDLOR,2025-09-18 14:15:32
ORD00292,myteam,100,126.0,Buy,SCB,2025-09-18 10:32:15
ORD00304,myteam,100,10.7,Buy,TLI,2025-09-18 14:49:15
ORD00305,myteam,100,56.75,Sell,CPN,2025-09-18 14:49:40
